u,i,year
16360,16298,2000
19391,19020,2010
20719,20648,2017
14132,14042,2000
10873,10352,2010
19575,19374,2014
11244,1679,2017
11843,11064,2008
21217,20743,2006
11208,8272,2003
11529,11372,2019
12425,12179,2011
18396,18155,2003
14761,4369,2002
6603,6403,2020
14447,13009,2020
22579,22566,2010
12465,2980,2011
9356,8218,2016
14252,13965,2014
8530,5839,2015
7570,6846,2009
7763,1828,2004
12398,4165,2015
8487,3222,2016
16153,15663,2013
11088,9625,2007
9142,5924,2016
19034,18908,2009
6098,4878,2015
10889,4166,2003
14145,14002,2000
19351,18968,2009
24106,24025,2020
16724,16714,2006
6194,5245,2014
19166,18899,2013
8368,6380,2000
17474,17448,2021
21330,21251,2002
20899,20535,2010
9537,8575,2008
21234,295,2001
7913,6805,2012
9802,8249,2017
13738,13707,2014
5919,1777,2003
20070,20004,2001
12923,4518,2010
12039,2761,2007
3301,2574,2015
20174,20135,2014
7678,6905,2002
9537,8590,2010
18190,18167,2021
24165,24044,2013
23031,22696,2011
3942,821,2003
6752,4216,2006
15754,15740,2018
10866,10526,2012
17142,16723,2010
14256,14191,2020
6864,5896,2018
6412,5751,2011
13638,12882,2011
13599,13208,2021
13919,13300,2012
9320,4900,2019
7016,5522,2018
12984,12644,2011
15410,15358,2000
10470,9227,2002
9115,8164,2021
23869,23649,2002
13620,13478,2016
19524,19104,2000
6481,5890,2010
17709,17685,2011
15565,15023,2002
18696,18296,2015
14008,13552,2007
15963,15792,2006
20088,20015,2008
23994,23753,2004
12700,1213,2021
5794,4146,2020
15940,2289,2017
18395,18318,2014
22006,21869,2015
11970,11844,2010
10231,8754,2020
15588,15468,2012
10133,9352,2021
6553,4233,2006
17378,17246,2013
10794,4924,2015
20588,19962,2009
17935,17826,2003
7966,7254,2018
13385,12536,2010
11792,11731,2005
6522,6014,2008
21914,21757,2006
8099,4947,2017
16820,16655,2000
11920,8134,2001
23211,22875,2000
12144,12073,2003
7258,1026,2020
15976,15921,2007
15123,14680,2011
17711,17371,2011
7943,5923,2005
21670,21537,2002
12629,12018,2012
7679,7243,2006
12965,4833,2021
6574,4629,2003
15953,3036,2018
11466,11459,2012
14820,14753,2016
11504,11466,2020
18356,18078,2019
23158,23090,2001
15953,15843,2005
15817,15578,2021
7017,6419,2007
20350,19975,2019
19077,18947,2021
20039,20025,2017
16292,15937,2007
8948,3678,2002
9522,9071,2000
6768,6512,2004
24864,24702,2010
21770,21674,2017
9270,1941,2007
9237,8096,2019
8302,6387,2011
23555,23503,2020
9630,1432,2005
12465,11411,2006
7530,5904,2019
3704,1811,2011
8672,7179,2019
11175,1902,2000
10914,9442,2007
24230,24210,2007
13622,2435,2017
22152,22122,2004
16130,15861,2007
18185,18111,2017
8055,1299,2006
10842,10768,2011
18527,18378,2014
10593,7024,2008
16471,16340,2012
6120,4142,2017
10015,6683,2014
8698,4206,2017
19476,19054,2021
23863,23848,2001
10126,9652,2017
6671,5940,2017
21028,20385,2019
21469,21452,2009
21368,21291,2005
7571,6269,2006
19859,1186,2020
13189,12691,2021
7620,3495,2013
18185,17962,2018
10235,8382,2011
23121,23034,2021
9642,3320,2002
17653,17414,2012
17073,16867,2007
16298,15958,2014
13531,13056,2018
12136,11659,2009
8969,8809,2012
11343,8505,2002
24322,24205,2019
10241,6009,2009
13027,4519,2008
23901,845,2017
2810,336,2018
19592,19151,2016
20362,20297,2011
10701,8508,2013
11006,9379,2009
16427,16396,2000
10538,9346,2012
8897,5443,2005
14964,2429,2016
18033,17997,2009
21549,21366,2000
10241,9801,2004
6098,4784,2019
15788,15613,2015
9802,7715,2016
16484,16242,2014
6980,5059,2017
16701,16463,2019
18531,18217,2001
17073,3874,2009
21860,21630,2009
11272,11098,2001
12291,12227,2000
4725,4675,2013
14480,148,2001
4809,53,2004
13437,13018,2016
19118,19011,2004
24057,23968,2006
7258,7235,2005
17066,16947,2014
15058,15012,2006
6553,2643,2019
8779,7671,2014
16977,16719,2020
14008,13863,2017
22444,22339,2002
11920,9224,2008
15295,15110,2020
15295,14896,2016
11794,11013,2016
14728,14664,2015
13385,12817,2016
19641,19387,2003
12700,4874,2005
15927,15791,2009
19676,19588,2012
20291,20219,2015
22891,22609,2015
18350,18314,2018
16811,16784,2014
22229,22046,2009
24688,24604,2016
21114,1744,2002
12600,11861,2011
8698,3709,2007
12463,12425,2007
8698,6830,2004
19555,3122,2007
7391,2398,2020
16924,16476,2001
15474,15366,2008
18935,18803,2020
17684,17624,2018
7570,6268,2017
8189,7287,2003
21046,21029,2005
16676,16559,2006
11584,4679,2001
14252,6728,2021
11039,7618,2018
13436,13174,2000
24882,24644,2015
22653,22472,2018
15940,15839,2005
17229,858,2007
8099,7696,2006
9723,9711,2018
7017,6369,2015
17309,3088,2007
8654,3995,2013
19467,19462,2016
19536,19421,2008
13446,2478,2006
16145,15807,2008
17118,15592,2016
19878,6413,2002
10663,9689,2008
11113,10654,2019
8948,6899,2011
23396,23246,2002
6256,4578,2015
14010,13152,2006
9270,3573,2009
18923,18803,2015
17410,17341,2007
18347,18318,2015
8094,7687,2011
12290,12288,2018
6879,4116,2002
15600,3605,2018
15099,15046,2004
15752,15671,2017
9008,8917,2019
15109,15002,2012
7177,4346,2001
16128,16115,2001
8779,8079,2000
3890,1256,2007
10235,3450,2020
11322,9606,2001
10222,5506,2016
4735,4662,2012
24850,24817,2018
17056,16971,2016
11017,10974,2002
12497,9873,2001
20972,20834,2005
8455,6486,2012
18725,18370,2021
18179,18119,2000
13911,13518,2012
21225,21115,2015
22674,22390,2010
21821,21735,2018
7980,5884,2011
4590,3894,2015
15766,15360,2004
8368,6152,2021
12369,4143,2012
13385,13233,2010
7169,1828,2012
8055,2315,2020
11075,5327,2009
15496,15132,2014
23875,23665,2008
24787,24609,2016
13661,13420,2003
23938,23753,2002
6954,6869,2015
7016,3756,2007
13368,12679,2002
17131,16863,2016
19636,1442,2014
19028,19004,2011
16145,15732,2008
5704,5346,2003
15305,15097,2015
4496,4078,2009
9917,2629,2010
13019,12988,2011
10068,9620,2016
7211,6421,2016
13783,12975,2018
23683,23642,2009
10230,9931,2003
9177,9142,2015
9238,8052,2021
17900,5676,2000
9009,7597,2013
21219,20951,2018
12709,5473,2009
14908,14475,2009
11289,11175,2015
16180,1210,2006
24051,23813,2007
3697,541,2018
10371,9769,2018
18859,18585,2018
5930,5150,2020
8366,4344,2019
6975,989,2021
21229,20826,2013
22724,22704,2017
12123,11770,2017
20258,20218,2009
20517,20032,2001
12001,3226,2003
9485,8666,2021
24768,24698,2019
18951,18876,2001
8177,7782,2004
17942,17871,2018
11642,10852,2005
7980,7548,2009
16967,16871,2011
23778,23677,2003
8487,3559,2007
14603,14594,2005
17709,17638,2004
18805,18528,2006
20405,20383,2020
16977,16749,2015
4371,3140,2007
16960,16959,2006
12144,3887,2020
21423,2570,2001
21972,21736,2012
23904,23742,2011
20922,20574,2002
14710,14511,2005
11266,11123,2009
19229,19197,2012
3518,2108,2016
13270,4647,2004
8110,7285,2014
20766,20674,2008
15883,15699,2006
8537,7921,2014
23546,23529,2006
11175,7505,2007
14908,1250,2008
7913,6227,2018
22275,22195,2005
14276,14248,2006
16706,16682,2004
10794,10094,2015
24845,24756,2020
22031,21853,2007
8779,8585,2013
18614,3765,2017
7258,1396,2020
7353,6079,2001
24716,24715,2015
10392,9479,2001
15808,15463,2014
21390,21287,2001
22964,22890,2018
4857,3749,2006
7723,7677,2002
12425,10603,2009
13919,13769,2010
16772,4459,2012
11352,9938,2019
12965,12158,2011
8932,7630,2016
7378,5911,2002
24834,24690,2014
9678,9166,2003
5938,5405,2015
15203,15057,2010
14507,14417,2012
15180,14362,2001
12269,12214,2007
16884,16657,2016
10476,4223,2012
24072,23892,2006
23299,23200,2002
13795,13661,2012
9732,8665,2001
6980,5206,2013
11088,10400,2004
15517,15446,2000
14145,3335,2012
17476,16988,2004
23593,23374,2021
15930,15542,2018
21356,20897,2000
8527,8483,2001
19518,19092,2011
8189,6601,2015
9824,9619,2021
13379,12914,2002
21065,20714,2018
14851,14828,2019
24710,24665,2020
17506,17149,2021
23545,23328,2019
24915,24903,2021
19461,19428,2008
10235,2935,2015
13445,892,2020
13843,13826,2017
12314,11669,2004
18657,2722,2010
11162,10813,2017
14392,14303,2009
18523,18424,2014
23062,22889,2016
19989,19876,2002
5682,4674,2018
13120,13053,2017
21147,20953,2001
24355,24352,2010
7833,6073,2019
19987,19952,2011
18699,18151,2012
8650,7239,2004
21513,21425,2019
12181,11714,2021
19541,19277,2003
16161,15602,2009
12814,11537,2012
13900,4285,2010
12022,11915,2020
19763,19456,2003
17935,17650,2011
22969,22848,2017
9399,5390,2002
11824,4386,2013
23092,23078,2000
14424,128,2002
19612,4806,2010
13385,13361,2001
7943,7203,2003
7813,2060,2012
22414,22395,2017
9642,4623,2010
14948,14771,2021
18098,18002,2013
14930,14472,2020
17221,17026,2007
1909,1431,2000
8779,7760,2008
20604,20277,2019
13024,12666,2014
14550,14125,2021
13489,12637,2003
8897,8196,2011
16802,16740,2018
22616,22543,2020
22820,22787,2004
8932,6866,2019
15358,15006,2012
5349,5008,2011
19378,19297,2021
7541,6342,2019
3979,1726,2009
3847,3643,2014
19757,2056,2006
18723,3785,2006
10425,9517,2000
10371,9765,2009
17404,17303,2019
18478,18135,2004
22432,22332,2002
18861,18736,2000
19302,19255,2014
17388,17333,2013
9491,9139,2018
8503,6028,2008
12273,12139,2009
16973,16662,2007
24584,24231,2015
10761,8827,2007
19220,19197,2001
10767,10741,2014
24659,24628,2000
10907,9749,2017
14018,13718,2021
14114,13983,2018
11329,11077,2000
15390,15228,2007
10823,10037,2003
22223,21955,2018
16563,1273,2016
7620,5995,2013
19164,19109,2018
10761,3176,2009
16973,16596,2015
13372,12364,2015
19157,19044,2019
14305,61,2005
10934,9555,2016
24927,24730,2005
12703,12273,2020
15975,15548,2019
12075,3909,2010
9211,8939,2008
8325,1984,2012
21398,21031,2006
11281,9743,2020
17953,17799,2009
24463,24370,2013
22073,22050,2017
18245,18153,2001
10713,10663,2019
10604,10588,2019
12189,12064,2006
9928,9107,2019
11583,1679,2004
9651,6868,2014
23722,23357,2021
11896,6407,2015
21173,21145,2013
8654,7989,2001
16363,16080,2004
13445,4538,2001
11416,10523,2018
20592,20132,2013
10263,8538,2003
15446,15096,2017
7653,4775,2005
17424,17404,2010
12580,12292,2004
21145,21022,2012
12022,8271,2017
6980,4058,2017
20873,20595,2013
4231,2779,2011
23876,23668,2020
9928,3737,2016
23032,22676,2017
20971,20732,2012
15339,15178,2015
15254,15221,2005
14396,14324,2012
21727,21639,2008
19522,19357,2015
8780,8704,2015
12123,11757,2012
9431,9224,2011
17771,17408,2001
8654,3891,2006
4513,1342,2018
19623,19621,2012
16977,16288,2010
22208,21904,2019
11575,11184,2000
15379,2355,2006
15083,14897,2003
10264,7419,2013
9142,6715,2012
6323,2694,2008
10421,8253,2018
17814,17292,2009
18411,18139,2016
20755,20536,2016
12452,10556,2020
18415,18390,2013
17583,17468,2009
7017,829,2016
13270,12658,2020
13994,13746,2002
21404,21265,2004
15956,15404,2001
17180,16866,2006
23462,23321,2007
14916,14312,2003
21739,21695,2012
9656,9502,2008
20588,20535,2004
7966,7334,2019
6101,6097,2010
12630,12625,2011
9642,7816,2020
5329,4373,2005
10714,10654,2005
16559,16490,2015
9953,8065,2018
17110,17072,2000
17363,17121,2003
10157,9805,2001
9650,9610,2004
14071,13896,2020
10881,9638,2012
24614,24419,2015
14196,13221,2010
13560,12764,2016
12944,12936,2018
5366,2946,2021
13959,13923,2003
24716,24518,2001
16551,16485,2005
11135,11088,2012
13909,13904,2013
22104,21891,2001
24145,23912,2016
23652,23507,2000
5818,4852,2012
21232,21074,2011
17609,16961,2001
12662,3430,2011
6743,5268,2015
9973,8912,2019
22286,22252,2010
16312,15845,2001
14121,14075,2006
24632,24561,2002
17509,17324,2003
19352,19029,2006
22296,22280,2021
21004,20998,2011
6536,5038,2011
21088,20820,2001
13445,4574,2001
9316,9158,2015
10354,7288,2003
14764,14343,2009
7014,6980,2013
10238,8068,2007
21885,21760,2004
10524,10165,2021
7076,4892,2009
6671,4315,2015
19056,18774,2016
24174,23945,2002
11329,8032,2009
19634,19604,2003
24449,24348,2013
23413,23394,2000
18345,18053,2019
11094,10960,2012
15956,15829,2007
23365,23080,2011
18430,18308,2007
7312,5206,2018
7174,7160,2010
18190,18119,2014
21122,20840,2020
10329,10222,2000
14209,14065,2020
20631,20540,2013
20382,20116,2006
9244,8448,2013
19358,19323,2000
11578,10661,2004
8412,7468,2006
5422,4288,2017
16628,16492,2019
12497,12323,2014
13445,12653,2006
11078,10894,2013
11650,11544,2012
22674,22315,2015
24775,24707,2015
16713,16628,2007
11111,10810,2003
22917,22628,2015
21839,21625,2002
16900,16806,2011
16536,16248,2018
11334,11196,2019
8550,8447,2006
15405,15283,2015
12600,12597,2019
5366,1963,2003
17073,17069,2006
9337,5061,2006
7653,6766,2002
20286,20093,2005
23723,23381,2005
6015,3819,2020
16396,16202,2020
17293,4511,2015
23447,23275,2021
12191,12088,2004
6571,4943,2015
11608,9442,2015
10911,9983,2001
19636,2675,2010
17387,17232,2010
16073,15969,2013
6499,5680,2005
15657,15598,2018
6015,3689,2015
11908,2198,2001
23644,23580,2012
15220,15185,2005
8591,7094,2017
21511,21226,2009
10421,6651,2019
14656,14452,2009
14186,3158,2011
7678,7541,2016
21930,21880,2008
20960,20885,2021
23043,22688,2018
21679,21592,2020
15789,15694,2003
8177,7804,2017
18947,18867,2005
7653,5868,2015
18657,1002,2005
19123,18692,2000
15943,10504,2007
7870,7400,2001
13567,13295,2017
21975,21885,2002
7030,3029,2017
24676,24584,2006
23209,22887,2015
11094,10399,2009
17892,17391,2004
7169,2144,2014
10594,9705,2011
20071,19989,2020
10470,9644,2002
21065,20434,2008
10602,10086,2019
24855,24776,2020
11632,11231,2011
10960,10696,2021
21094,21068,2015
11088,10978,2008
10371,10333,2005
15090,14910,2008
8698,6566,2003
7946,1337,2014
10279,10231,2013
18485,18204,2007
14829,14440,2015
10433,10296,2012
15547,15301,2018
21096,20821,2018
23131,23115,2004
17014,16613,2014
15454,15379,2017
14057,13487,2013
11039,8964,2002
15783,15363,2018
12597,570,2011
17455,17410,2007
14607,14173,2016
7763,4558,2011
14818,13738,2018
23712,23653,2001
23481,23471,2003
10903,10451,2007
23368,23086,2011
16538,16248,2003
23678,23492,2014
8586,7583,2014
12700,2062,2016
18489,18462,2006
8229,6274,2017
13783,5724,2003
19568,19151,2012
11329,8070,2015
12271,11973,2015
17337,17273,2004
22731,22693,2006
20748,20725,2018
19569,19236,2021
8994,7515,2003
14832,14415,2012
4809,2997,2021
9142,6608,2004
16830,16392,2008
12465,12331,2007
8369,1519,2015
8346,5258,2001
10093,2498,2007
13603,13576,2000
7571,4422,2000
17113,16959,2021
11526,10569,2014
24088,23994,2009
17873,17732,2013
20864,20839,2018
7718,6946,2015
23959,23877,2014
24547,24517,2017
14950,14787,2009
11584,6211,2006
10625,9986,2001
18155,18088,2005
8948,8873,2002
8779,5489,2012
19286,18968,2018
11298,8890,2019
9595,9049,2013
18380,18253,2016
13302,13278,2011
12366,798,2008
19271,19164,2008
11642,10995,2019
13940,12963,2015
19188,18789,2000
8704,8481,2021
12510,3070,2014
19164,18920,2004
12958,11821,2004
13041,12977,2016
13986,13590,2004
19091,19004,2004
20148,19747,2002
20875,20697,2018
13857,13197,2015
4905,2488,2009
13760,2563,2021
12084,11501,2012
21930,21668,2018
4195,3790,2016
7312,4360,2004
12832,12423,2019
13843,4749,2021
8098,4681,2020
21663,21592,2020
18695,18355,2006
17364,16966,2007
14104,11303,2005
8055,4491,2017
10882,10592,2003
15375,15309,2015
8950,8066,2003
15865,836,2007
24002,23915,2017
24924,24822,2019
7530,6052,2015
19676,19267,2016
18739,18556,2014
10765,10714,2002
8431,4909,2002
13512,13494,2000
22727,22603,2014
13026,12668,2006
5326,4618,2012
24077,23744,2014
11416,11068,2015
19107,18952,2019
10274,8430,2021
11608,6252,2015
13410,2617,2009
12469,12142,2008
7576,6360,2015
10761,8417,2020
3426,364,2002
1808,1142,2021
22048,21939,2002
24699,24687,2000
7541,6000,2012
18109,17978,2001
7275,7035,2019
10625,10442,2012
14967,14804,2015
23074,22690,2008
15524,15411,2008
19971,19837,2003
8431,4406,2002
13911,13150,2019
7416,3771,2001
8036,4294,2020
16943,16754,2003
8368,6394,2001
18235,17850,2017
5179,1147,2017
14033,13701,2001
21186,20958,2001
23812,23724,2000
12789,12435,2009
12588,12119,2000
8591,3986,2010
18868,18621,2016
22817,22789,2020
7016,4767,2011
24687,24614,2005
22351,21995,2008
13643,13121,2006
21472,21307,2010
15976,15638,2021
13505,13198,2006
11094,11045,2009
15623,15562,2015
17709,17560,2021
9238,1530,2015
14622,14575,2001
21980,21933,2009
6678,6405,2012
6461,5649,2000
7353,2104,2016
7677,3888,2008
13219,12758,2006
10593,192,2012
10317,624,2018
7194,5718,2019
15093,15077,2005
6510,5241,2004
16712,16383,2011
13576,12861,2018
15000,14670,2013
21941,21934,2018
7897,7424,2019
6536,5548,2005
9361,7850,2013
14713,551,2000
6954,5900,2017
10286,9447,2003
22268,21987,2001
20667,20603,2005
20753,20740,2010
13102,12839,2002
11504,11399,2004
10882,2904,2003
19188,1951,2009
10371,9215,2011
11075,10837,2004
22428,22328,2000
18649,18497,2004
10593,10236,2000
23088,22991,2001
13749,13477,2020
7016,6054,2021
23811,23700,2018
10701,3379,2015
18113,17816,2017
8368,4695,2006
20956,20821,2014
11188,10685,2014
12984,11813,2002
4969,1383,2019
24632,24451,2005
17477,17451,2009
23877,23694,2003
17383,17369,2016
12934,11527,2013
10133,6831,2015
10789,9960,2020
10969,10107,2009
7076,4271,2013
16567,16482,2021
19555,2205,2019
15888,15332,2007
18446,18268,2015
8707,8415,2003
15366,15315,2019
14794,14536,2013
6553,1795,2021
19521,19233,2015
7378,6061,2016
10425,3103,2014
12026,11908,2021
7860,5206,2018
16920,16820,2021
13012,12138,2018
20001,19864,2007
10602,7824,2001
6256,1809,2009
11608,6868,2000
8397,8325,2010
23640,23638,2021
10837,10774,2010
21357,21105,2009
17933,17707,2013
18121,18067,2014
21513,21426,2016
21839,21762,2006
11025,10878,2006
18365,18081,2008
16209,16166,2011
17110,17020,2010
24677,24584,2009
20664,20294,2012
19161,19097,2012
12139,11454,2011
15307,15172,2021
6522,4305,2001
21770,3476,2004
23228,23170,2012
18755,18605,2019
12507,12163,2014
13759,13033,2019
14058,14047,2018
18315,17939,2016
10230,9776,2019
12841,12658,2009
19011,18897,2007
16585,16203,2005
6481,2207,2006
3469,689,2000
14777,14676,2003
17218,17135,2005
11330,5616,2018
16975,16869,2003
17898,17896,2021
20163,20084,2010
4447,2748,2011
8600,3534,2016
19769,19763,2013
10873,7528,2004
21037,20867,2018
9608,9480,2007
16523,16433,2009
12565,11951,2009
18962,18840,2013
22522,22362,2001
18911,18686,2005
20956,20780,2006
17601,17522,2007
18832,18764,2002
17156,17035,2002
3659,2268,2021
8369,3229,2012
10093,9264,2007
19596,19593,2016
10552,10535,2006
7258,6069,2017
11744,11595,2014
9741,9630,2000
9919,9589,2006
10289,10263,2012
18419,18101,2006
9433,8904,2021
13319,13201,2001
